Username,Rating,Ulasan
Sandi Wibisono,4 bintang,"Berangkat dari daerah Rungkut naik motor ikutin petunjuknya google maps sampai disini sekitar 30 menit lebih karena baru sekali kesini dan bukan penduduk Surabaya, pengalaman paling berkesan bersama keluarga main ke Bonbin Surabaya, yang paling diingat pas lihat di kandang Gajah : 🐘 ada Gajah dewasa yang sangat besar tingginya sekitar 3 meter lebih, mungkin Gajah tersebut sedang birahi / sedang tidak senang hatinya sampai kaki belakangnya yang besar menendang nendang pagar pipa baja dengan sangat kuat sehingga nampak seperti mengintimidasi pengunjung, untung saja pagar baja tersebut sangat besar + kuat sehingga tidak mungkin Gajah raksasa tersebut bisa keluar dari kandang, apalagi ada parit yang dalam sebagai pemisah kandang dengan pengunjung! Koleksi binatang-binatang disini cukup banyak & gak cukup klo cuma 1 hari menjelajahi Bonbin ini✨✨✨✨👍"
Chiba,5 bintang,"Lokasinya sangat asri berada di pusat kota surabaya. Tempatnya dan satwanya terawat dengan baik. Kebersihannya juga selalu dijaga.
Untuk biaya masuknya cukup murah Rp.15000"
Romy Yuhardiansyah,5 bintang,"Kesini tiba-tiba hujan, jadi ga sempat eksplor lebih lama. Dari beberapa tahun lalu, kbs udah berkembang cukup bagus. Ada beberapa wahana baru juga. Keren pokoknya."
Ririn Mutiarini,5 bintang,Tambah lama banyak kemajuan tempatnya lebih dingin dan teduh bnyk pepohonan jg tempat untuk istirahat makan bekal ataupun makan siang. Foodcourt jg ada berbagai jenis camilan dan makanan. Parkiran untuk motor jd agak jauh di terminal Joyoboyo sedangkan parkiran mobil dan bus dkt sebelah kebon binatang. Penjualan tiket sekarang berpindah tempat dan bs dipesan melalui online.
Cinta,4 bintang,"Masih banyak tempat dalam perbaikan dan ada pula tempat yg tak terawat, cukup melelahkan jalan menyusurin tiap - tiap tempat dan sepertinya bunbin surabaya cocok buat tempat olahraga."
Vit Ri12,5 bintang,"Luas banget,lumayan banyak pohon jadi rindang,rutenya membingungkan hihihi,hewan2nya kurang aktif,mungkin beda lagi kalau kesana hari wekeend
Htm : 15/orang,anak dibawah 2 tahun belum terkena tiket,atau anak dibawah tinggi 85cm belum terkena tiket,wekday dan wekend harga SAMA,tiket parkir 5rb"
Maulida Milyuna,5 bintang,"Terakhir ke KBS waktu masih kuliah dulu, sekarang tambah keren tempatnya,cuman sayang beberapa satwa gak ada. Seperti harimau benggala, badak, dan beberapa tempat satwa dalam perbaikan."
uut_udhel 29,4 bintang,"hari minggu hampir seperti lautan manusia

untuk hewanya gak begitu banyak, tempat segede itu kurang di manfaatkan dengan baik lagi, hawan hanya ada 1ekor tiap tempat, itupun kalau nampak, kalau gak nampak ya kosongan"
Thata Pang,4 bintang,"Kebun binatangnya luas sekali. Cukup bersih dan rimbun. Satwanya cukup lengkao walaupun ada yang kururs 🤗

Cocok untuk wisata anak. Jangan lupa bawa topi, minum krn panas."
Refaldijana Prasetya,5 bintang,"Harga tiket masuk 15rb per orang, parkir 5rb wajib bawa stnk, cocok buat si kecil dan dewasa, kalau mau masuk ke wahana aquarium bayar lagi, kalau mau naik gajah jgn hari sabtu sama ahad karena bayar 100rb, mending hari biasa, murah...!!! jgn lupa bawa bekal sendiri dari rumah,, nasi + minum + camilan,, dari pada nanti kaget pas beli di dalam KBS ... selamat berlibur😁"
sukmono dadang hartanto,5 bintang,"tempat rekreasi keluarga yang sederhana namun penuh memori, dari saya kecil sampai punya anak KBS masih tempat favorit walaupun beberapa hewan sudah tidak terlihat lagi 😊 …"
dyan suci harfiana,5 bintang,"tempat wisata utk mengenalkan anak pada hewan2, tiket masuk hanya 15k tapi kalau mau masuk aquarium 30k, naik gajah 100k dan mau berenang atau wahana didalam bayar tiket lagi. Tempatnya luas, bersih, anak2 selalu senang kalau diajak kesini."
SANsans amatir,3 bintang,"Banyak hewan yang hidup sendirian dalam 1 kandang, jadi kasian melihatnya contoh nya Zebra,Orang hutan,Simpanse.

Zona aquarium juga kurang menarik, jenis ikan kurang bermacam-macam dan tiket masuk ke zona aquarium saya rasa terlalu mahal karena tidak sesuai ekspektasi untuk orang pertama kali masuk ke zona aquarium,untuk zona aquarium tiket weekend 30rb per orang.

Untuk tiket masuk murah, 15rb di weekend."
chofifah parawansa,5 bintang,"Ku kurleb Uda ke sini 3-4 kalian kalah di hitung dari kecil, itu dulu agak usang sih
Alhamdulillah ini skrg thn 2023 Uda keren !!
Cuman masih sedih aja aku ngeliat kayak bbrp hewan yg air nya Sampek keruh bgt kasihan . Kotor dan bauk .. maaf pembersihan kandang/ tempat tinggal entah di air/ darat masih minim bgt."
Ellen Kaichan,4 bintang,"Tempatnya bersih, nyaman. Kekurangannya adalah tempat duduk yang terbilang masih sedikit dengan jumlah pengunjung yang banyak. Akhirnya tak sedikit pengunjung yang merelakan duduk di tanah (karena pihak KBS melarang membawa tikar dan smcm nya ""seingatku"")"
Hani Novita,4 bintang,"Kami berkunjung tanggal 21 Agustus 2022 sekitar jam 10 pagi.

Pengunjung sudah sangat ramai ditambah dengan ada acara anak-anak.

Parkir mobil & motor di luar juga sudah ramai. Kami memilih untuk parkir motor di dalam dengan membayar karcis Rp 5.000 (bayar saat masuk. Saat keluar, tiket diambil petugas tanpa memeriksa STNK)

Antrian loket kalau tidak salah ada 4 loket. 3 loket tertulis NON TUNAI dan 1 loket yang melayani pembelian tunai. Namun antrian lebih banyak di loket tunai sehingga pengunjung menunggu lebih lama. Setibanya di depan mbak penjaga loket tunai, kami mengeluarkan uang Rp50.000 (@ Rp 15.000) namun ditolak karena tidak ada kembalian 🥲 dan disarankan menggunakan QRIS.

Kalau kami mau bayar non tunai kan sudah dari tadi antri di loket sebelah dan sebelahnya lagi 🥲 Mbak petugas bilang katanya sebenarnya pembelian karcis sudah menggunakan non tunai. Mohon maaf tapi antrian depan kami tunai masih dilayani 🙄 Baiklah, karena sudah tanggung di depan loket, kami bayar pakai OVO.

Di pintu masuk, karcis diambil petugas. Kami masuk tanpa dicek suhu. Sebelumnya kami sudah check in Peduli Lindungi dulu. Kami mulai berkeliling di kebun yang sangat luas ini, sayangnya beberapa satwa tidak ada. Seperti puma, harimau benggala putih yang hanya ada kandangnya saja 😂 begitu juga beberapa kandang satwa lainnya.

Lelah berkeliling, kami duduk sejenak sambil minum es teh (Rp 10.000) dan es kopyor (Rp 10.000) . Banyak penjual snack, es krim, minuman dingin di setiap sudut. Kami memilih makan siang di Depot Virgo dengan menu lontong kupang, bakso, nasi, lontong, soda gembira, air mineral total Rp 71.000 tak ketinggalan gorengan Rp 20.000 isi 5. Depot ini menyediakan berbagai menu jadi tak perlu bingung jika berkunjung saat jam makan siang.

Oh iya, di sini toilet bayar ya 🤭 Rp 2.000 tiap kali ke toilet.

Terakhir kami masuk ke zona aquarium dengan harga karcis Rp 30.000/orang. Sebenarnya agak ragu saat membeli karena takut zonk 😅 tapi setelah masuk ternyata apa yang dilihat cukup worth it dengan harga karcis. Zonanya pun lebih lengang dan nyaman untuk melihat setiap satwa lebih lama.

Ada beberapa wahana seperti perahu motor, perahu kayuh, 3D animal story tapi kami lewati.

+ parkir mudah ada di beberapa lokasi
+ tiket masuk murah tapi belum termasuk tiket terusan
+ banyak tempat jajanan, malah terlalu banyak menurut saya karena semuanya seperti berebut pembeli 😁
+ toilet juga banyak
+ zona aquarium bagus

- mohon diinformasikan saja dari awal kalau beli karcis masuk harus non tunai. Padahal zona dan wahana di dalam masih tunai semua loh.
- beberapa satwa tidak ada
- beberapa lokasi seperti tidak terawat"
DinaHarDina,5 bintang,"Kebun binatang yang sekarang jauh lebih rindang, bersih dan terawat. Tiket masuk hanya 15.000

Banyak fauna yang bikin seneng. Bisa bawa makanan dari luar."
Hana Jasumin,5 bintang,"Bagussss banget cocok buat wisata edukasi, tiket masuknya pun terjangkau cuma 15k tiap orang... semoga hewan2 langka dapat hidup dengan baik dan terpelihara di sini 😍😍"
_snow flake,5 bintang,"Lokal destinasi yang bisa kamu kunjungi kalau di Surabaya. Tempatnya bersih dan sejuk, luas banget, jadi anak-anak bisa leluasa bermain dan belajar. Banyak spot jual minuman dan makanan ringan jadi enggak bakalan kelaparan. Boleh foto-foto juga dan biasanya ada yg jual makanan buat rusa jadi kiddos bisa kasih makan langsung. Jangan lupa cobain aquarium nya juga ya. HTM di tahun 2022 sih masih 15rb, semoga gak naik ya hehe"
Happy Channel,5 bintang,kesini pas pagi baru buka dan kebetulan hari kerja juga (krn semalam hujan) jadi pertama masuk kebun binatang sejuk bgt ada kabut2 nya 🥰 dan Krn blm ada pengunjung lain berasa explore di hutan beneran 😂 seru!!!
Meta Letiyanti,4 bintang,"Tempatnya sejuk sih karena banyak pohon & tanaman. HTM juga murah hanya 15.000 dan untuk anak-anak usia 2th ke atas baru bayar. Pembayaran non tunai dengan scan barcode. Untuk hewan-hewan ya lumayan banyak. Cuma menurutku yang paling banyak sejenis primata & rusa. Areanya luas jadi bikin capek jalan tapi jika mau istirahat ada kursi-kursi/warung-warung yang jual cemilan, makanan dan souvernir di dalam kebun binatang. Jika datang kesana naik taksi online dan turun di depan KBS jangan kaget kalau ada fotografer yang menawarkan jasanya untuk foto di depan patung surabaya. Fotonya bisa sekalian dicetak dengan harga 10.000 per lembar kecil dan 20.000 per lembar besar. Waktu ke KBS pas hari kerja jadi bisa jaga jarak karena nggak terlalu rame. Kemungkinan kalau weekend/tanggal merah bisa rame. KBS cocok untuk pengenalan hewan ke anak-anak."
Kiki Ashfiya,5 bintang,"Cocok buat liburan nge refresh pikiran sambil liatin satwa, tempat nya luas, bersih, nyaman, banyak food court jadi ga sampai kelaparan karna butuh tenaga ekstra buat jalan kaki wkwk 😂"
Anufa Ika,5 bintang,"Wisata edukasi, terutama untuk anak anak kecil, hewan hewannya lengkap, fasilitas lengkap, lingkungan bersih, asri, harga tiket murah meriah.
Tapi di beberapa area lain ada yg masuknya harus membayar lagi, seperti di Aquarium

Lokasi mudah d jangkau, menggunakan kendaraan umum atau pribadi, dekat dengan stasiun Wonokromo"
Liaahaq,5 bintang,"Jadi tukang foto satu keluarga. Emang kalau kesini wajib bawa satu orang di luar keluarga biar ada yang motoin ya bun. KBS masih jadi tempat yang nyaman dan murah untuk edukasi anak-anak. Harga makanan juga ga terlalu mahal jadi ga perlu repot bawa rantang dari rumah. Kebersihan toilet perlu ditingkatkan lagi, apalagi pas lagi rame ramenya."
Bahtria Elsa Kartika,5 bintang,"Seru sekali akhirnya bisa Pergi ke Kebun Binatang lagi. KBS makin bagus, luas dan bersih, selain aneka satwa, di dalam KBS juga ada wahana naik Perahu menyusuri danau di dalam KBS dan tersedia beragam toko souvenir, oleh2, aneka makanan dan jasa foto dg harga yg masih wajar untuk tempat wisata. Harga tiket masuk juga sangat terjangkau. Buat yang rumahnya diluar Kota Surabaya bisa kesana naik Kereta Api ya biar makin seru 💛"
viskamto bayu prayugo,4 bintang,"Masih jadi tempat edukasi favorit mengenalkan dunia flora & fauna untuk anak-anak. Koleksi hewan-hewannya masih lengkap, kandang jg mulai lebih ditata rapi dg pagar kaca agar bisa lebih leluasa melihat koleksi hewannya. Yang pasti saat ini lokasinya lebih bersih, area parkir juga nyaman asalkan datangnya agak pagi. Yg pasti tiketnya yg super ramah di kantong. Kalo mau lebih hemat, bisa bawa snack praktis dr rumah, tp ingat tetap jaga kebersihan & jgn buang sampah sembarangan ya... selamat berlibur."
Vivi Prastari,4 bintang,"LEBIH BAGUS
over all bagus sih cuman look untuk binatangnya jauh banget, jadi keliatan kecil binatangnya. Seperti singa harimau dan beberapa primata lain.

Masuknya Rp.25.000 tapi dapat Etol card.  BRI Flazz card. Bisa digunakan untuk naik bus sby dan etol.

Banyak yg jual makanan mainan minuman dan juga fotografer keliling."
Miftahul Huda,5 bintang,"Salah satu tempat rekreasi yg wajib dikunjungi oleh warga Surabaya dan sekitarnya, selain sbg tempat edukasi, kebun binatang Surabaya jg tempat yg cocok untuk sekedar melepas lelah saat weekend, karena tempatnya cukup sejuk dan rindang karena banyak pohon"" besar, sehingga membuat pengunjung betah untuk berlama-lama disana,
Biasanya pengunjung ramai diakhir pekan."
Bocah Lemu,5 bintang,"Koleksi hewan2nya banyak Lo BESTie
Banyak juga spot2 foto yang instagramebel donk. Kolam renangnya juga ok punya donk. Untuk family tempat ini sangat direkomendasikan loooo. Yuk segera datang kesini!!!!!"
Andita Kusuma Ningtyas,4 bintang,"Weekend ramai sekali, cocok buat jalan-jalan bareng keluarga apalagi anak-anak. Tapi beberapa hewannya ada yg tidak terlalu keliahatan ya, kemaren kesana tidak bisa liat buaya-nya. Beberapa kandang hewan sepertinya juga masih perlu perawatan dan kebersihannya ya."
Hariono Ahong,4 bintang,"Sabtu,14-mei kesini.
Tempat wisata yg nyaman tuk keluarga.Terutama para bocil,senang melihat aneka ragam satwa disini.Tempat,nyaman,luas,agak panas meskipun banyak pohon2.cuma masih banyak pengunjung yg buang sampah bukan pada tempatnya."
Anak Lanang,1 bintang,"Katanya utk berkunjung d area terbuka Masker sudah tidak diberlakukan,tp kenapa d Kebun binatang sja harus pke masker & anehnya masker harus terpakai cuma buat melewati loket pintu masuk.setelah masuk/keluar Masker sudah tdk diberlakukan.peraturan kq aneh,harusnya klo buat masuk d haruskan pke masker,didalam pun peraturan tidak berlaku."
Sarie Avriel,4 bintang,"HTM 15rb,
Ke sini pas tanggal merah dan tanggal muda..
pengunjung fulllll.
Bagi yang ingin beli tiket mending online ya,pke QRIS atau BRIZZY.
Hampir 6 loket mengular antriannya.
Parkir KBS wlau msih pagi tetp tulisannya full jdi harus parkir dpan KBS @10rb
klo mau parkir di trminal Joyoboyo bisa @3rb tapi per 2jam."
Alifa Nur,4 bintang,Tempat wisata yang sangat cocok untuk keluarga terutama untuk anak-anak . Disana kita bisa mengenalkan anak kita berbagai macam hewan-hewan .Tiket masuk juga murah tidak menguras kantong.
Bee Bee,5 bintang,"Hari weekend lumayan rame ya.  Tempat nya asyik gak ngebosenin , boleh bawa makanan dri luar . Tempat nya bersih . Jangan lupa pakai masker . Tiket 1org 15k ."
Reno Driawan,4 bintang,"Pertama kali ke Kebun Binatang Surabaya sejak terakhir saat umur saya sekitar 6-7 tahunan. Padahal udah di Surabaya selama 3 tahun, tpi baru kali ini ada kesempatan untuk kesana 😂
Feel nostalgianya sangat terasa, ingat beberapa spot didalamnya. Cuma, karena sekarang aku lumayan dewasa, jadi mngkin ga seexcited itu sih pas didalam, ga kayak waktu aku masih kecil. Kadang liat hewat2 yg kondisinya ""agak"" kurang bagus, jadi sedih wkwk. Kandangnya yg mbgkin kecil dn kotor. Memang ga memakan biaya yg sedikit sih untuk perawatan, tapi tetep aja, ini0000 hewan2 liar. Hewan liar yg sendirian (yg sharusnya berkelompok) jg bkin sedih.
Untuk positifnya sih, didalam banyak spot2 makanan minuman, ga prlu khawatir haus dan lapar. Tempat untuk istirahat dn duduk jg banyak.
Mungkin tadi yg terakhir sih untuk sementara ini, nggk tau klo nanti2."
Dina Anggara Kusuma,3 bintang,"Cari parkiran di sini susah, karena padat pengunjung terpaksa parkir di gedung parkir Joyoboyo.
Harga tiket masuk perorangnya 15rb saja, ramah di kantong, jadi jangan berharap akan fasilitas yg bagus.
Agak kurang terawat.
Penunjuk rutenyapun kurang banyak dan pengunjung agak terganggu dengan penjualan paket jajanan dari sales² snack. Mirip² pasar malam suasana riweuhnya, pengunjung juga banyak yg tidak mematuhi prokes menggunakan masker dan dilarang merokok. Tidak ada peneguran atau sanksi apapun. Jadi jangan lupa pakai masker, terutama ke anak² dan lansia ya.
Satwanya yang kurus² membuat kami sedih, padahal termasuk lengkap koleksi satwa di sini. Sangat disayangkan.
Toilet juga tidak tersedia merata di area seluas itu.
Semoga ke depannya makin baik lagi dan bisa menjadi kebun binatang berkelas."
siapa hayoo,4 bintang,"Tempat parkir luas, loket tiket terbagi 2 jadi bisa meminimalisir antrian, tempatnya pun bersih, adem, dan bagus untuk orang-orang yang suka berfoto dan bermain dgn keluarga kecil sambil memperkenalkan hewan kepada anak-anak. Oiya, boleh bawa camilan tapi dilarang bawa karpet/tikar yaa. Tapi, kalau ga bawa camilan pun gpapa, disana ada foodcourt nya juga kok. Tapi skrg menurutku hewannya ga sebanyak dulu, gatau lagi sih itu cuma pendapatku hehe."
Kevin Merlinda,4 bintang,"Kesini lagi untuk liburan akhir tahun di bulan Desember 2021. Tempatnya bersih, rindang, ada berbagai jenis hewan. Bisa feeding animal juga. Di dalamnya juga ada stan"" yang menjual makanan dan pernak-pernik KBS, jadi kalo laper bisa langsung cuss beli hahah. Tiket masuknya sekitar 15.000 untuk orang dewasa."
Aditya Agus Setyawan,5 bintang,"Wisata legendaris dan murah di Kota Surabaya, setelah 20 tahun tidak mampir, ternyata Kebun Binatang Surabaya disulap menjadi Kebun Binatang yang sangat nyaman, accessible, namun bagi pengunjung mohon kesadaran dirinya untuk menjaga kebersihan"
Tantri Sumiati,4 bintang,Tempatnya lebih bersih dan lebih banyak sport fotonya... tp kenapa ya binatang nya sekarang lebih sedikit .. tiket masuknya masih terjangkau 15k.. tp masuk aquarium bayar LG ya 30k 😔
Kangdadang Palingkasep,4 bintang,"Sudah lebih bagus dari sebelumnya. Tapi karena high seoson awal tahun jadi ramenya bukan main. Gak lihat binatang malah lihat2an sama pengunjung lainnya. Untuk tiket sangat terjangkau, binatang sepertinya masih kurang ya perlu di tambah koleksinya."
Indah Puji Lestari,4 bintang,"Suka. Adem. Hijau... Tapi sayang bbrp tempat kaya nggak terawat. Hewannya juga kurang lengkap kalo menurutku sih.
Tiket masuk murah. Tp kalo mau masuk ke bbrp wahana harus bayar lagi. Tp secara keseluruhan kalo untuk membuang penat kerja. Buat nyantai, ngademin mata.... Cocok banget..."
Albert Subekti,4 bintang,"Tempat terbaik untuk hiburan murah buat liburan anak2, tiket masuk murah 15rb, yg mahal kasi makan jerapah 100rb bisa buat 5org tpi dikit bgt pakannya, yg akuarium di dalam tiket masuknya lebih mahal dripd tiket masuk zoonya 30rb, better d buat paketan zoo plus aquarium 30rb gt jdi sekalian masuk pake gelang. Klo dipisah jdi males byr lagi kerasa mahal pas d loket dalam. Hewannya lengkap pas kmrn masuk cuman bbrp sangkar burung yg jalan lewatnya di perbaiki. Lainya oke semua. Tempat parkir yg di lahan KBS sendiri dikit tpi disediakan yg di Terminal intermoda bus angkot deket situ. Lumayan bagus terminalnya dan bersih jdi g kuatir parkir drpd kececer d pinggir jalan.  Tiket parkir kmrn hmpir 4 jam kena 10rban masi oke lah krn pake jam2an. Tpi udah cape juga jalan 4 jam, waktu standar lah kesana muter2. Rame bgt yg jual makanan jg byk, aplgi kmrn waktu libur weekend byk group anak sekolah tk dan sd jdi ramee bgt. Tpi masi nyaman, asal jangan pas liburan lebaran lalu, mau masuk aja g bisa liat dri depan udah berjubel d pintu tiket."
Hendra Orcha,3 bintang,"Pengunjung ckp ramai, sayang nya koleksi hewan kurang lengkap. Yg lbh parah di area zona aquarium. Dengan membeli tiket lagi senilai 30rb. Ikan yg ada d sini sedikit sekali. Bnyk ikan pasar yg sering kita jumpai di pasar ikan. Semoga ke depannya lbh ada peningkatan pelayanan dan fasilitas lagi."
Jumaro,5 bintang,"Masuk area kebun binatang surabaya harus sdh vaksin 2x
Prodkes ttp dijalankan
Loket harga masuk tetap 15rb/org
Loket menggunakan BCA mobile dan BRI britz
anak tinggi 80cm sdh dihitung 1 karcis
Lokasi lebih bagus dan rapi
Diarea kebun binatang ada yg menjual makanan tuk hewan
Ada perahu bebek yg dikayuh
Ada perahu mesin
Ada area bermain ank
Ada area seni dan melukis
Ada foodcort
Tdk boleh membawa tikar
Boleh bawa makanan & minuman dri rumah"
Avita Peace,4 bintang,"Parkir sepeda motor 5rb
Tiket masuk 15rb/orang
Aquarium 20rb/orang

Gajahnya ngk ada yaa ?
Waktu kesini area gajah tutup
Andaikan ada hewan hewan laut juga ,pasti lebih wow 😇"
Sayugi _,4 bintang,Graha setyowati sangat menyenangkan saat menghadiri pesta perkawinan di Taman terbuka dengan udara segar dan hamparan kolam. Sayangnya Tulisan Graha Setyowati / Gedungnya dari depan tidak nampak tertutup rimbunnya pohon/ tanaman
Fu Jr,4 bintang,"Suasana bonbin yg skr agak panas meski lebih tertata. Beberapapohon yg rindang besar sudah berkurang akibatnya mengurangi kesejukan. Lebih banyak gerai makanan. Tour sign perlu di detailkan lagi agar pengunjung bisa puas. Jika hari libur mending datang lebih awal krn oarkiran cepat penuh, klo parkir diluar tarif Rp 40K."
Eka Reni Suryaningsih,5 bintang,"Terakhir kesini waktu TK! Wkwkwk Kesini karena ada sodara datang dari luar pulau. Hewannya cukup banyak, rame banget karena saya kesana hari minggu.

Tiket = Rp 15.000 / orang
Sayur untuk kasih makan rusa = 25.000 / cup (uk. Kopi kena****)"
Mickael Putra Johanies,4 bintang,"Kebun binatang raya yang terkenal di Surabaya, parkir luas, tiket masuk 15ribu perorangan dan parkir 5000 per motor, cocok untuk bersama keluarga dan teman teman dekat seperti teman kantor, banyak aneka hewan disini dan suasana enak sejuk, dan luas tempatnya, bisa belajar hewan disini dan tersedia bioskop 3 dimensi untuk anak anak"
Sigid Wahyudi,4 bintang,"Kebun Binatang Surabaya (KBS)adalah salah satu kebun binatang yang populer di Indonesia dan terletak di Surabaya. KBS merupakan kebun binatang yang pernah terlengkap se-Asia Tenggara, di dalamnya terdapat lebih dari 211 spesies satwa yang berbeda yang terdiri lebih dari 2.236 binatang. Termasuk di dalamnya satwa langka Indonesia maupun dunia terdiri dari Mamalia, Aves, Reptilia, dan Pisces."
IRMA RACHIM,5 bintang,"Tempat liburan di Surabaya yg terjangkau. HTMnya murah meriah only 15k. Masuk dunia ikan byr lg 20k/org. Bisa dibuat edukasi ke anak2.
Tempat parkir luasssss, motor, mobil, bis oke semuanya.
Tempatnya luass bgt, klo bawa baby disarankan bawa stroler, capek klo gendong Krn areanya luasss.
Harga makanan terjangkau. Banyak both2 makanan yg harganya sama rata semuanya.
Puass pokoknya liburan ke KBS, murah nyaman, bnyak spot foto yg Instagramable bgt...
Cuss dech langsung meluncur ajh ya gaess....❤️❤️😍"
Bay's Channel,5 bintang,"Cukup oke untuk wisata ditengah perkotaan, semoga ada peningkatan lagi terkait penambahan binatangnya di setiap kandang karena beberapa kandang tidak terlalu kelihatan binatangnya."
Daniar Anggit,5 bintang,"Tempat padat pemgunjung saat hari minggu, parkir digedung parkir sebelah lantai 5, pembayaran masih bisa cash, lokasi wisata bersih, banyak lokasi tempat sampah, hewan nampak sehat dan bermacam macam hewan. Si kecil senang, lain waktu bisa berkunjung lagi"
Rizki Romadona,4 bintang,Pas kesana minggu kemarin. Pengunjung nya padat sekali. Sama untuk rute atau peta dalam kebun binatang harap ditingkatkan lagi. Atau dibuat lebih ber alur
Lintang Agusti,4 bintang,"Saya berkunjung pada bulan ramadhan tanggal 5 April 2022
untuk tiket masuk parkir motor permotor 5.000
untuk masuk ke KBS dikenakan 15.000 per kepala. sangat murah banget selama saya berkunjung di kebun binatang
petugas ticketing nya humble ramah sekali
pas masuk sudah disuguhin jerapah yang sangat tinggi
banyak banget nyamuk yaa soalnya alam terbuka jadi wajar
ada beberapa tukang bangunan yg membenahi tempat satwa yg perlu di remodel sangat tidak terawat sayang sekali padahal ada ditengah pusat kota surabaya"
Rotun Naf,5 bintang,"Kebun binatang Surabaya selalu ada perkembangan gais. Sekarang tempatnya dah mulai terawat lagi setelah covid dulu.
Selalu ada pembenahan jugaa.
Spot foto juga udah mulai banyak. Tp sayang banget fasilitas yg di gedung ijo tmpat gembok2 cinta itu ada toiletnya kah? Soalnya aku tidak menemukan ituu disanaa.
But overall is good"
JOYO ENDO CORP,4 bintang,"Salah satu pilihan Tempat berlibur untuk keluarga yg murah meriah,menikmati pemandangn hijau dan sejuk dtengah kota Surabaya…tingkatkan terus pelayanannya terutama kebersihan bbrp tempat masih kurang."
fitri andriani,5 bintang,Harga terjangkau. Satwa lumayan lengkap. Hanya saja saat kondisi pengunjung ramai sehingga tidak menemukan tempat duduk yang memadai di beberapa sudut lokasi KBS.
Nia Ariningtyas,5 bintang,"Sempet males kesini krn dulu kotor, sekarang lebih bersih... Lumayan buat yg mau piknik tipis2 area surabaya, ada jalur gowes jg di dalam... Kalau pas mendung suasananya mirip2 lah kayak di batu..Tiket bisa bayar pakai qris juga.. Pas weekend biar gak ngantri mending dateng pas pagi baru buka.."
Spider With Web,5 bintang,"Bonbin Surabaya, atau lebih dikenal dengan nama KBS, sekarang sudah benar benar berkembang, hewan hewannya lengkap mulai dari hewan darat hingga airny, lengkap juga dengan penjelasan untuk si anak yang lagi belajar mengenal hewan hewan, hari libur benar benar ramai oleh pengunjung luar surabaya."
Belajar Produktif,5 bintang,"Tiket terjangkau @15k/orang, tempat bersih dan koleksi binatangnya masih banyak , cocok untuk liburan bersama keluarga. Bawa makanan dari luar jg diperbolehkan"
papu djie,4 bintang,"Sayang sekali pas ke kbs gajah lagi sakit jadi area gajah ditutup
Ramai pengunjung
Tiket masuk 15k
Parkir motor nya 10k 😀 (Sabtu 1/1/2022)"
arjun baihaqy,4 bintang,"Masuknya harus bayar pake QRIS/online payment, jadi cukup menyulitkan orang yg belum pakai metode pembayaran itu. Kondisi kebun binatangnya sih hidup segan mati tak mau, banyak yg perlu dibenahi.
Semoga KBS bisa diprivatisasi/ di-swasta-kan, tempatnya berpotensi tapi dikelola dengan buruk"
Eva Krismianto,5 bintang,"KBS mulai ramai pengunjung setelah lama lockdown, tpi masih tetap menerapkan 3M ya, terutama pakai masker, bersih binatang nya juga lumayan variatif tpi blum trlalu lengkap, smoga tambah maju KBS 👍👍👍 …"
Musyafa' Tanjung,4 bintang,"Sangat cocok untuk keluarga, dengan tiket 15k sudah dapat mengelilingi kebun binatang sampai capek, kalau kurang bisa beli tiket lagi untuk wahana aquarium kurang lebih 35k.
Kebun binatang Surabaya saat ini mulai berbenah, semoga ke depannya lebih baik dan bagus lagi.
Mungkin lebih dijelaskan lagi atau diberikan rute untuk menjelajah agar lebih efisien dan menyenangkan, agar tidak bolak-balik dan berlawanan arah.
Perlu diperhatikan untuk oknum/calo parkir yang ada di luar sampai gedor kaca untuk menyuruh parkir di depan, padahal di dalam masih sangat luas."
Alvaro M. Rafi,5 bintang,"Saat ini KBS semakin tertata, bersih, dan nyaman👍
Koleksi hewannya juga banyak
Harga tiket masuk Rp 15.000,-/ orang
Pembuatan non tunai
Untuk masuk ke Aquarium dikenakan tiket masuk lagi Rp 20.000,-/orang"
ningce azza,4 bintang,Kemarin hari Minggu tgl 15 Mei saya dan kluarga saya berkunjung di KBS.awal masuk saya mau parkir sesuai petunjuk rambu.tiba tiba ada penjual apa itu saya ga tau.katanya full parkiran speda motor.sontak kaget dan diarahkan ke parkiran lain.itu kaya perkumpulan pedagang jual disitu.pungli parkir  nya 10 ribu/ motor.itu saya bawa 3 motor.buat temen temen mending pastikan ke parkiran resmi nya KBs nya aja(saya pas masuk parkiran resminya ga full masih ada beberapa yang kosong).drpada di bohongi kaya saya.masuk tiket normal weekend /weekday 15 rbu bisa cash bisa Aris .wahana perahu 15 weekday.20 weekend.harga makanan standar aja sih.boleh bawa bekal dari luar kok.fuullll bangettt kbs nya mungkin weekend.semonga membantu
Husnul,4 bintang,"Satu dari sekian tempat rekreasi keluaga di kota Surabaya, sudah mulai rame pengunjung sejak selesai Pandemi waktu lalu. Tiket masuk terjangkau.
Lingkungan rindang banyak pepohonan besar, cuman untuk kebersihan masi kurang dan sebaiknya para pengunjung juga saling jaga agar sampah dibuangpada tempat yg di sediakan. Satwa masi kurang fariasi terlihat adabbeberapa kandang yg kosong."
